county,subregion,population85
1,alamance,102512
3,alexander,26348
5,alleghany,9549
7,anson,24853
9,ashe,22723
11,avery,14726
13,beaufort,42211
15,bertie,21001
17,bladen,29633
19,brunswick,44840
21,buncombe,167083
23,burke,74440
25,cabarrus,92204
27,caldwell,69940
29,camden,5598
31,carteret,48335
33,caswell,21607
35,catawba,112069
37,chatham,35826
39,cherokee,19671
41,chowan,13059
43,clay,7007
45,cleveland,84171
47,columbus,50677
49,craven,79428
51,cumberland,261631
53,currituck,12544
55,dare,17021
57,davidson,120060
59,davie,26356
61,duplin,40541
63,durham,163961
65,edgecombe,57706
67,forsyth,256980
69,franklin,32710
71,gaston,171734
73,gates,9115
75,graham,7271
77,granville,35970
79,greene,15953
81,guilford,329572
83,halifax,55095
85,harnett,63545
87,haywood,47344
89,henderson,65085
91,hertford,23362
93,hoke,21614
95,hyde,5834
97,iredell,87100
99,jackson,26702
101,johnston,75862
103,jones,9383
105,lee,39711
107,lenoir,58849
109,lincoln,45606
111,mcdowell,35820
113,macon,22758
115,madison,17037
117,martin,25858
119,mecklenburg,448830
121,mitchell,14399
123,montgomery,23175
125,moore,53963
127,nash,71094
129,new hanover,111994
131,northampton,21922
133,onslow,133152
135,orange,83581
137,pamlico,11040
139,pasquotank,29491
141,pender,24394
143,perquimans,9946
145,person,29469
147,pitt,97986
149,polk,14021
151,randolph,97579
153,richmond,45112
155,robeson,104457
157,rockingham,85001
159,rowan,104406
161,rutherford,56149
163,sampson,48452
165,scotland,33016
167,stanly,50182
169,stokes,35378
171,surry,60520
173,swain,10846
175,transylvania,24948
177,tyrrell,4020
179,union,76712
181,vance,38001
183,wake,360387
185,warren,16758
187,washington,14285
189,watauga,35071
191,wayne,101139
193,wilkes,59852
195,wilson,64373
197,yadkin,29350
199,yancey,15346
